idx	tier	date	link	insts	venue	title
0	C	2026-08	10.18720/spbpu/3/2026/vr/vr26-2616	?	Electronic Library of Peter the Great Po	Система автоматизации разработки агрегационных конвейеров MongoDB на основе Query-by-Example
1	C	2026-08	10.18720/spbpu/3/2026/vr/vr26-2127	?	Electronic Library of Peter the Great Po	Сервис автоматической генерации программных веб-интерфейсов для документоориентированных баз данных на основе подхода «запрос по образцу»
2	A	2026-08	10.3390/sym18081387	?	Symmetry	A Collaborative Multi-Compression Acceleration Mechanism for Neural Networks in Keyword Spotting
3	A	2026-08	arxiv.org/abs/2608.17108v2	?	arXiv (Cornell University)	A Multiplication-Free Feature Extractor for Signal Classification: Keyword Spotting Case Study
4	A	2026-08	10.1016/j.compeleceng.2026.111442	Shahid Beheshti University	Computers & Electrical Engineering	SpeechFormer++ compression using quantization and group query attention for small footprint spoken keyword spotting
5	C	2026-08	10.13023/etd.2026.363	University of Kentucky	UKnowledge (University of Kentucky)	Advancing Edge Intelligence
6	A	2026-08	10.21227/byhg-1667	?	IEEE DataPort	"Word-Balanced Enrollment-Set Evaluation for Multilingual Few-Shot Keyword Spotting"
7	A	2026-08	10.83350/qxyy-v963	?	University of Aruba	Speech-to-text model for keyword spotting applications in the Papiamento language within a healthcare environment
8	A	2026-08	10.3390/s26165107	Northwest Minzu University; Ministry of Education of the People's Republic of China; Minzu University of China; Center for Excellence in Tibetan Plateau Earth Sciences	Sensors	Tibetan-PASEM: Phonology-Aware Speech Evidence Matching for Low-Resource Tibetan Written-Query Keyword Spotting
9	A	2026-08	10.1145/3838800	AGH University of Krakow; Keio University; Commissariat à l'Énergie Atomique et aux Énergies Alternatives; CEA Grenoble	ACM Transactions on Reconfigurable Techn	Hardware-accelerated graph neural networks: an alternative approach for event-based audio classification and keyword spotting on SoC FPGA
10	C	2026-08	10.1007/s11701-026-03783-x	Ministry of Education; Tianjin Medical University; Central South University; Third Xiangya Hospital	Journal of Robotic Surgery	Surgeon-authorized natural-language and instrument-tracking shared control for robotic laparoscope holding: the EndoVISTA simulator and porcine feasibility study
11	A	2026-08	10.5281/zenodo.21810130	?	Zenodo (CERN European Organization for N	TinyML-Based Algerian Arabic Darija Keyword Spotting for Offline Smart-Home Control: Dataset, Model, and Hardware Deployment
12	C	2026-08	10.48550/arxiv.2608.03322	?	arXiv (Cornell University)	LocAnyMed: Vision-Language Grounding for Multimodal Medical Images
13	C	2026-08	arxiv.org/abs/2608.01560v1	Altius Institute for Biomedical Sciences	arXiv (Cornell University)	Discriminative Axis, Not Data Volume: What a Contrastive Corpus Teaches an Audio Embedding
14	N	2026-08	arxiv.org/abs/2608.02254v2	?	arXiv (Cornell University)	Homebot: A Personal AI Agent for Conversational Home Assistance and Automation
15	A	2026-08	10.1016/j.vlsi.2026.102836	Shenzhen University; Nanjing University of Information Science and Technology	Integration	EchoChat: An intelligent audio SoC featuring an ultra-low latency, low-power keyword spotting accelerator
16	A	2026-08	10.1016/j.ast.2026.113532	?	Aerospace Science and Technology	Few-Shot Callsign Keyword Spotting in Air Traffic Communications with Self-Supervised Pretraining and Flexible Convolution
17	C	2026-08	10.5281/zenodo.21742197	Nürtingen-Geislingen University of Applied Science	Zenodo (CERN European Organization for N	ProfEngel/TrinityLectureAssisitant: Trinity v0.17.10 - G2 Speech Reliability
18	C	2026-07	arxiv.org/abs/2607.29353v1	?	arXiv (Cornell University)	Versatile On-device Adaptation at the Edge by Unifying Few-shot, Zero-shot, Continual, and In-context Learning
19	B	2026-07	10.24425/ijet.2026.157946	Quantum Technologies (Sweden); AGH University of Krakow; Wrocław University of Science and Technology	International Journal of Electronics and	Google Speech Commands benchmarks tests with new dataset extension
20	C	2026-07	10.1002/aisy.70477	National University of Defense Technology; Huazhong University of Science and Technology	Advanced Intelligent Systems	Energy‐Aware Perturbation Optimization for Memristor‐Array Convolutional Neural Networks
21	A	2026-07	10.1016/j.specom.2026.103458	Chinese Academy of Sciences; Institute of Acoustics; University of Chinese Academy of Sciences	Speech Communication	Multilevel contextual prompting for conversational ASR: unifying conversation history and hotwords with speech LLM
22	A	2026-07	10.1007/s40747-026-02415-z	Electronics and Telecommunications Research Institute	Complex & Intelligent Systems	A lightweight hybrid 2D–1D depthwise-separable CNN with frequency-only pooling for efficient small-footprint keyword spotting
23	C	2026-07	10.5281/zenodo.21522989	?	Zenodo (CERN European Organization for N	Javipra AI: A Confidence-Weighted Multimodal Sensor Fusion Framework for Autonomous, Privacy-Preserving Emergency Detection and Response on Edge Devices
24	C	2026-07	10.1145/3811242.3819092	Indian Institute of Technology Dharwad; Indian Institute of Information Technology Dharwad; The Sixth Form College Colchester		Frugal Voice: Offline Community–Governed Speech Models for the Soliga Tribe in Karnataka
25	A	2026-07	arxiv.org/abs/2607.20086v1	?	arXiv (Cornell University)	Cumsum-Composable Phase Transport for Low-Cost Streaming Keyword Spotting
26	A	2026-07	arxiv.org/abs/2607.19918v1	Yandex (Russia)	arXiv (Cornell University)	Scalable Keyword Spotting via Modular Network Expansion
27	C	2026-07	10.21203/rs.3.rs-10195791/v1	National Research University Higher School of Economics	Research Square	Interpretable Audio Pattern Discovery in Keyword-Spotting Models via Waveform Optimization and Segment-Level Analysis
28	A	2026-07	10.1002/advs.76640	University of Seoul; Seoul Semiconductor (South Korea); Dongguk University	Advanced Science	Hydrogen‐Stabilized Self‐Rectifying Memristor Arrays for Reliable Multilevel Synapses in Transformer‐Based Keyword Spotting
29	A	2026-07	10.1007/978-981-92-3410-3_2	Beijing University of Chemical Technology	Lecture notes in computer science	ASNN-KWS: Adaptive Spiking Neural Networks with R-STDP for Keyword Spotting
30	C	2026-07	10.5281/zenodo.21411967	Nürtingen-Geislingen University of Applied Science	Open MIND	ProfEngel/TrinityLectureAssisitant: Trinity v0.16.44 - G2 Whisper quality
31	C	2026-07	arxiv.org/abs/2607.15367v1	Birla Institute of Technology and Science, Pilani	Zenodo (CERN European Organization for N	AnovaX: A Local, Multi-Agent Voice Assistant with LLM Planning, Typed Executors, and Adaptive Recovery
32	A	2026-07	10.3390/s26144514	Nanjing University of Posts and Telecommunications	Sensors	A Lightweight Keyword Spotting Method Using a Convolutional Spiking Neural Network with Learnable Synaptic Delays
33	A	2026-07	10.1007/s10772-026-10282-9	National Institute of Technology Patna	International Journal of Speech Technolo	Pitch-robust acoustic feature representation using subband temporal slope for keyword spotting
34	C	2026-07	10.13140/rg.2.2.29814.56641	?		Energy-Efficient Hierarchical Audio Agents: Wake-Word-Driven SLM Retrieval on Microcontrollers
35	A	2026-07	10.5281/zenodo.21301042	?	Zenodo (CERN European Organization for N	Keyword Spotting Data, Datasets, Models and Results for Aviation Radio Communication (2026)
36	N	2026-07	10.38124/ijisrt/26jul106	Indian Institute of Technology Jodhpur	International Journal of Innovative Scie	Handwritten Text Recognition: A Comprehensive Survey of Evolution and Architectures
37	C	2026-07	10.1145/3805712.3808379	Pukyong National University		T-RADAR: Simulating Trademark Examination as an Interactive Retrieval Interface for Conflict Risk Assessment
38	C	2026-07	10.1145/3805712.3808367	Otto-von-Guericke-Universität Magdeburg; Liverpool John Moores University		ESCOMIC: User Adaptive Ex plainable Search for Comic Books
39	A	2026-07	10.20944/preprints202607.0424.v1	?	Preprints.org	Efficient Polish-Language Keyword Spotting on Microcontrollers: Compact Neural Architectures, Quantization, and On-Device Validation on the Raspberry Pi Pico 2
40	C	2026-07	10.5281/zenodo.21233518	Ahmedabad University; National Institute of Design	Zenodo (CERN European Organization for N	DIY AI Smart Glass: Design, Development, and Evaluation of an Indigenous Multimodal Wearable Assistant
41	A	2026-07	10.5281/zenodo.21222553	?	Zenodo (CERN European Organization for N	Keyword Spotting Data and Datasets for Aviation Radio Communication (2026)
42	C	2026-07	10.7717/peerj-cs.4006	Guangzhou University of Chinese Medicine	PeerJ Computer Science	A learnable, pinyin-aware post-ASR correction method with accent routing for domain-specific Chinese speech recognition
43	C	2026-07	10.5281/zenodo.21205334	?	Zenodo (CERN European Organization for N	Rice's Formula for Event-Driven Networks: Predicting and Training Temporal Sparsity via Differentiable Level-Crossing Rates
44	C	2026-07	10.3390/electronics15132918	Northern Border University	Electronics	Cross-Layer Resource Optimization for Ultra-Low-Power TinyML Inference on ARM Cortex-M Microcontrollers
45	C	2026-07	10.5281/zenodo.21172943	?	Zenodo (CERN European Organization for N	VoicePilot: A Free, Open Voice-Control Accessibility App for People with Severe Motor Impairments
46	C	2026-07	arxiv.org/abs/2607.01702v1	?	arXiv (Cornell University)	Pmeta-TLA: Backdoor Attacks for Speech Classification Models via Meta-Learning with Timbre Leakage Attack
47	A	2026-07	10.1109/siu71813.2026.11636921	Süleyman Demirel Üniversitesi; Suleyman Demirel University		Transformer-Based Turkish Keyword Spotting in Noisy Environments
48	A	2026-07	10.1109/spcom71105.2026.11623042	?		Overcoming Nawes Fixed-Window Constraints for Spoken Term Detection and Localization
49	A	2026-06	10.13088/jiis.2026.32.2.001	?	Journal of Intelligence and Information 	Real-Time Lightweight Keyword Spotting Architecture Based on a Multi-Scale SeparableConv1D-BiLSTM Network
50	B	2026-06	10.55041/ijcope.v2i6.386	Savitribai Phule Pune University	International Journal of Creative and Op	AI-Based Smart Wearable Women Safety Band Using ESP32, GPS, SIM800L, Fall Detection, Stress Monitoring, Voice Activation and Android Application
51	A	2026-06	10.1145/3805689.3812322	McGill University		Hidden Beyond the Gender Binary: Pitch-Based Insights into Bias Mitigation for Keyword Spotting
52	C	2026-06	10.33899/rjcsm.v20i1.60652	Northern Technical University; University of Mosul; Cardiff University	Maǧallaẗ al-rāfidayn li-ʿulūm al-ḥāsibāt	Comprehensive Review of Offline Voice Control Systems for Smart Homes: Technological Advances, Existing Challenges, and Prospective Developments
53	C	2026-06	https://arxiv.org/abs/2606.26824	Indian Institute of Technology Kanpur; VIB-KU Leuven Center for Microbiology; KU Leuven	arXiv (Cornell University)	wav2tok 2.0: Scalable Audio Tokenization Maintaining Explicit Pairwise Token Alignment for Efficient Audio Retrieval
54	C	2026-06	10.5281/zenodo.20811825	?	Zenodo (CERN European Organization for N	DIVINESHIELD: A PROACTIVE AI-POWERED WOMEN'S SAFETY ANDROID APPLICATION INTEGRATING ON-DEVICE MULTI-MODAL THREAT DETECTION, VOICE-ACTIVATED EMERGENCY RESPONSE, DYNAMIC SAFE-ROUTE NAVIGATION, AND OFFLINE-RESILIENT BLE MESH COMMUNICATION
55	C	2026-06	10.5281/zenodo.20779419	?	Zenodo (CERN European Organization for N	GRADV: A Reproducible Pipeline for Interpretable Audio Pattern Discovery in Keyword-Spotting Models
56	C	2026-06	10.5281/zenodo.20782564	?	Zenodo (CERN European Organization for N	EDITH: A Multilingual AI Voice Assistant with Deep Learning-Based Palm Detection Authentication for Intelligent System Control
57	C	2026-06	10.5281/zenodo.20745932	?	Zenodo (CERN European Organization for N	Dataset for acoustic monitoring and identification system
58	A	2026-06	arxiv.org/abs/2606.20106v1	National Taiwan Normal University; Link Institut (Switzerland)	arXiv (Cornell University)	Personalized Keyword Spotting for User-Defined Keywords Leveraging Text-Independent Speaker Verification
59	A	2026-06	10.1145/3787109.3815293	University of Electronic Science and Technology of China		An Energy-Efficient and End-to-End Keyword Spotting Processor Using 3D Broadcast Sparse Computing Array and Hybrid Sparsity Strategy Pruning
60	C	2026-06	10.5281/zenodo.20738741	?	Zenodo (CERN European Organization for N	shebanq-mcp: a Model Context Protocol server for querying the BHSA Hebrew Bible in plain language
61	C	2026-06	10.5281/zenodo.20728987	Nürtingen-Geislingen University of Applied Science	Zenodo (CERN European Organization for N	ProfEngel/TrinityLectureAssisitant: Trinity v0.11.4
62	C	2026-06	arxiv.org/abs/2606.18122v1	?	arXiv (Cornell University)	Embedded Machine Learning for Microcontroller-Class Edge Devices: Data, Feature, Evaluation, and Deployment Pipelines
63	C	2026-06	arxiv.org/abs/2606.17967v2	University of Sheffield	arXiv (Cornell University)	Learning task-specific subspaces via interventional post-training of speech foundation models
64	C	2026-06	arxiv.org/abs/2606.16807v1	?	arXiv (Cornell University)	Connecting Speech to Words through Images
65	C	2026-06	arxiv.org/abs/2606.16115v1	?	arXiv (Cornell University)	Stabilizing Short Duration Speaker Verification through Neural Re-scoring with Hybrid Enrollment
66	C	2026-06	arxiv.org/abs/2606.14824v1	Scuola Superiore Sant'Anna; University of Genoa		Running hardware-aware neural architecture search on embedded devices under 512MB of RAM
67	A	2026-06	10.1016/j.csl.2026.102018	Shaanxi University of Science and Technology	Computer Speech & Language	A lightweight query-by-example keyword spotting system for IoT devices
68	C	2026-06	10.5281/zenodo.21602978	?	Zenodo (CERN European Organization for N	Speech-to-Text Command Recognition for IoT Home Automation Using Convolutional Neural Networks
69	C	2026-06	arxiv.org/abs/2606.12059v1	?	arXiv (Cornell University)	Attention by Synchronization in Coupled Oscillator Networks
70	A	2026-06	arxiv.org/abs/2606.11279v1	Instituto Politécnico de Lisboa	arXiv (Cornell University)	Massive Open-Vocabulary Keyword Spotting
71	A	2026-06	arxiv.org/abs/2606.10365v1	Hangzhou Dianzi University	arXiv (Cornell University)	KFC-KWS: Keyframe Fusion with CTC for User-Defined Keyword Spotting
72	C	2026-06	arxiv.org/abs/2606.04210v2	Carnegie Mellon University	arXiv (Cornell University)	Representation Matters in Randomized Smoothing for Audio Classification
73	C	2026-06	10.1145/3812836.3814790	Swiss Center for Electronics and Microtechnology (Switzerland); ETH Zurich		Hardware-Software co-design of FETA: a Flexible Low Power AI accelerator for Time-series signals
74	C	2026-06	10.5281/zenodo.20486200	Bursa Technical University	Zenodo (CERN European Organization for N	Inductive Logic Programming Through Worst-Case Optimal Join Optimization Based on Variable-Elimination Ordering and Bitmap Indexing
75	C	2026-05	10.1145/3745756.3809232	University of Wisconsin–Madison		Analysis of Always-Listening Services on Android
76	C	2026-05	10.5281/zenodo.20431959	JSS Academy of Higher Education and Research	Open MIND	Comprehensive Survey on Python-Based Voice Assistants with Emphasis on JARVIS
77	C	2026-05	10.5281/zenodo.20425166	Ghent University Hospital; KU Leuven; University of Vienna; European Research Council	Zenodo (CERN European Organization for N	Database of Byzantine Book Epigrams - Archive
78	C	2026-05	https://nur.nu.edu.kz/handle/123456789/18877	?	Nazarbayev University Repository (Nazarb	WALL-E: A local-first, embodied AI companion robot
79	C	2026-05	10.1145/3788853.3801604	University of Utah		S em D isc: An End-to-End Query-by-Example Semantic Join Discovery System
80	C	2026-05	10.1145/3788853.3801593	University of Wisconsin–Madison; Microsoft (United States)		Demo of SemWeave: Semantic Common Expressions for LLM-powered Query Processing
81	A	2026-05	10.1109/icc59461.2026.11587273	University of Guelph		Power-Efficient Edge-Based Keyword Spotting for Remote Patient Monitoring Systems
82	A	2026-05	10.1109/iscas66217.2026.11561939	Agency for Science, Technology and Research; Institute of Microelectronics; Nanyang Technological University		A Reconfigurable Audio Analog Front-End with Hardware-Aware Transfer Learning for Task-Adaptive Keyword Spotting
83	C	2026-05	10.1109/iscas66217.2026.11562296	University of Zurich		A Linear Analog Resonate-and-Fire Neuron
84	A	2026-05	arxiv.org/abs/2605.22120v1	Shanghai University; New York University; Xi’an Jiaotong-Liverpool University	IEEE Transactions on Audio Speech and La	Effective User-defined Keyword Spotting with Dual-stage Matching, Multi-modal Enrollment, and Continual Adaptation
85	A	2026-05	10.1016/j.neucom.2026.134028	National Institute of Technology Durgapur	Neurocomputing	Advances in small-footprint keyword spotting for TinyML: A comprehensive review of efficient models and algorithms
86	C	2026-05	10.5281/zenodo.22023553	?	Zenodo (CERN European Organization for N	AI-Enabled Women's Safety Application: Design, Modules and Case Analysis of a Real-Time Protection System"
87	B	2026-05	10.7840/kics.2026.51.5.1129	?	한국통신학회논문지	Implementation of a DDS-Based Voice Command System in a Guided Weapon Control Centre Console Device
88	A	2026-05	arxiv.org/abs/2605.15647v1	?	arXiv (Cornell University)	Perforated Neural Networks for Keyword Spotting
89	A	2026-05	10.3390/computation14050112	Universidad Técnica de Ambato; Escuela Superior Politécnica del Chimborazo	Computation	Design and Evaluation of a Compact VGG-Inspired CNN for Keyword Spotting in Resource-Constrained TinyML Systems
90	C	2026-05	https://aaltodoc.aalto.fi/handle/123456789/145019	?	Aaltodoc (Aalto University)	Takaisinkytkettyjen neuroverkkojen kvantointi ja karsinta resurssirajoitteisiin sulautettuihin järjestelmiin
91	C	2026-05	10.70593/978-93-7185-479-5_4	Knowledge Integration (United Kingdom)		Big Data Infrastructure for Genomic and Clinical Systems
92	C	2026-05	arxiv.org/abs/2605.15216v3	?	arXiv (Cornell University)	Hardware-Software Co-Design of Scalable, Energy-Efficient Analog Recurrent Computations
93	A	2026-05	10.1109/sensys-adjunct71932.2026.00097	Indian Institute of Technology Patna		Poster Abstract: A Wearable IoT Device for Voice-Activated Safe-Word Detection Using Robust Keyword Spotting and Whisper Speech Recognition for Emergency Response
94	A	2026-05	10.24423/archacoust.2026.4434	Higher Institute for Applied Sciences and Technology	DOAJ (DOAJ: Directory of Open Access Jou	From Speech to Underwater Acoustics: A Transfer Learning Framework for Real-Time Passive Diver Detection Using Keyword Spotting Models
95	A	2026-05	arxiv.org/abs/2605.09570v1	?	arXiv (Cornell University)	End-to-End Keyword Spotting on FPGA Using Graph Neural Networks with a Neuromorphic Auditory Sensor
96	C	2026-05	arxiv.org/abs/2605.08961v1	Tsinghua University	arXiv (Cornell University)	Dolphin-CN-Dialect: Where Chinese Dialects Matter
97	N	2026-05	10.1145/3774906.3800486	University of Massachusetts Amherst		WISP: Printable Graphene-Based Wearables for Force-Based Micro-Gesture Recognition
98	C	2026-05	10.5281/zenodo.20034872	Samsung (South Korea)	Open MIND	SPECTRA: A Traceability Ontology for the 3GPP RAN Standardization Process
99	C	2026-05	10.5281/zenodo.20061605	?	International Journal for Research In Sc	AI VOICE ASSISTANT: JARVIS
100	C	2026-05	10.5281/zenodo.20182705	Prompt (Canada); Google (United States); Google DeepMind (United Kingdom); Renewable Energy Systems (United States)	Open MIND	Ep. 2696: How Pegasus Silently Hijacks Your Phone's Microphone
101	C	2026-05	10.18130/8cxc-e439	University of Virginia	Libra	The Downfall of Autoregressive Models: Replacing Linear Reasoning in Symbolic Environments
102	C	2026-05	10.47392/irjaeh.2026.0364	Guru Gobind Singh Medical College and Hospital; Office of Multidisciplinary Activities	International Research Journal on Advanc	AI-Powered IoT-Integrated Voice-Controlled Smart Wheelchair with Multi-Sensor Navigation and Safety Features
103	C	2026-05	10.1088/2634-4386/ae688e	University of Sussex	Neuromorphic Computing and Engineering	FeNN-DMA: A RISC-V system-on-chip for spiking neural network acceleration
104	C	2026-05	10.5281/zenodo.20181731	Prompt (Canada); Google (United States); Google DeepMind (United Kingdom); Renewable Energy Systems (United States)	Open MIND	Ep. 2597: Voice Control for Renters: $25 Per Room, No Wall Damage
105	C	2026-05	10.5281/zenodo.19978550	Vels University	Zenodo (CERN European Organization for N	AI PDF question answering system using python
106	C	2026-05	arxiv.org/abs/2605.00319v1	National Yang Ming Chiao Tung University	IEEE Transactions on Circuits and System	A PVT-Resilient Subthreshold SRAM-Based In-Memory Computing Accelerator with In-Situ Regulation for Energy-Efficient Spiking Neural Networks
107	A	2026-05	https://hdl.handle.net/10214/29620	University of Guelph	The Atrium (University of Guelph)	High-Accuracy Keyword Spotting Interface for Wearable IoT Devices
108	C	2026-05	10.63317/228rtv6b348v	Institut National des Langues et Civilisations Orientales		Leveraging Speech Models for Audio-based Lexical Retrieval in Dictionaries: The Case of the Teochew Language
109	C	2026-05	10.1109/icde65706.2026.00314	Aalborg University; University of Verona; TU Wien		Jazero: A Semantic Table Search System
110	A	2026-04	10.54097/5ynv3r62	?	Frontiers in Computing and Intelligent S	Uyghur Keyword Spotting and Speech Representation Learning Based on an E-Branchformer Encoder-Decoder Architecture
111	C	2026-04	10.1016/j.compeleceng.2026.111206	ITPEnergised Group (India)	Computers & Electrical Engineering	ASIC implementation of Approximate Max Pooling using prefix comparison for convolutional neural networks
112	C	2026-04	10.48550/arxiv.2604.28079	?	arXiv (Cornell University)	Tailwind: A Practical Framework for Query Accelerators
113	C	2026-04	10.1007/s00778-026-00976-6	Peking University; Simon Fraser University; Huawei Technologies (China)	The VLDB Journal	BQSched$$^{+}$$: A generalizable RL-based scheduler for varying batch concurrent queries
114	N	2026-04	arxiv.org/abs/2604.27004v1	Stockholm University	arXiv (Cornell University)	EdgeSpike: Spiking Neural Networks for Low-Power Autonomous Sensing in Edge IoT Architectures
115	C	2026-04	10.5281/zenodo.19817920	University College London	Zenodo (CERN European Organization for N	Terminal Fano 3-fold hypersurfaces in rank 2 toric varieties database
116	N	2026-04	10.5281/zenodo.19816366	Prompt (Canada); Google (United States); Google DeepMind (United Kingdom); Renewable Energy Systems (United States)	Open MIND	Hands-Free Dictation with a Screaming Baby
117	A	2026-04	arxiv.org/abs/2605.02928v1	Indian Institute of Technology Roorkee		Keyword spotting using convolutional neural network for speech recognition in Hindi
118	A	2026-04	10.1109/icwr69602.2026.11513323	University of Science and Culture		Speech Command Recognition Using MFCC: A Hybrid CNN-LSTM Approach for Keyword Spotting
119	C	2026-04	10.1109/raeeucci67649.2026.11504939	Marwadi University		TalkWell: Natural Language Processing-Assisted Deep Learning Model for Real-Time Mental Health Monitoring
120	A	2026-04	10.1109/icassp55912.2026.11463209	Pohang University of Science and Technology		FPGA Implementation of Accurate and Low-Cost Keyword Spotting
121	C	2026-04	10.1109/icassp55912.2026.11460486	Hanyang University		Voicing-Guided Decomposition and Recomposition for Few-Shot Keyword-Incremental Learning
122	C	2026-04	10.17148/ijarcce.2026.154126	Dr. Reddy's Laboratories (India)	IJARCCE	Multilingual AI-Based Voice-Controlled Robotic System Using Distributed Architecture
123	A	2026-04	10.1109/icassp55912.2026.11462743	Ghent University; KU Leuven		BEST-STD 2.0: Balanced and Efficient Speech Tokenizer for Spoken Term Detection
124	C	2026-04	arxiv.org/abs/2604.18105v2	Intelligent Systems Research (United States)	arXiv (Cornell University)	NIM4-ASR: Towards Efficient, Robust, and Customizable Real-Time LLM-Based ASR
125	C	2026-04	10.26183/fww7-dy82	Western Sydney University	Western Sydney University ResearchDirect	A reconfigurable sparse accelerator for edge-based neural network inference and its applications
126	C	2026-04	10.5281/zenodo.19650628	Prompt (Canada); Google (United States); Google DeepMind (United Kingdom); Renewable Energy Systems (United States)	Zenodo (CERN European Organization for N	Voice Control Simplified: Home Assistant's Local Stack
127	C	2026-04	10.1109/icsp69961.2026.11540798	Xiangtan University; Peking University		Memory-Decoupled Event-Driven SNN Deployment on Edge Microcontrollers
128	C	2026-04	10.30939/ijastech..1845650	Istinye University	International Journal of Automotive Scie	A Review on Fundamentals, Applications, Challenges and Current Status of Spiking Automotive Electronics
129	C	2026-04	arxiv.org/abs/2604.12420v1	Seoul National University	arXiv (Cornell University)	HARP: Hadamard-Domain Write-and-Verify for Noise-Robust RRAM Programming
130	C	2026-04	10.1021/acscentsci.5c02418	Edison Pharmaceuticals (United States); Sustainability Institute; University of Rochester	ACS Central Science	Bayesian Optimization of Catalysis with In-Context Learning
131	C	2026-04	10.1016/j.adhoc.2026.104241	Meharry Medical College; Government of West Bengal	Ad Hoc Networks	SafePath: A TinyML-based on-device edge intelligence framework for real-time protection of vulnerable road users
132	C	2026-04	10.1088/2631-8695/ae5ec7	University of Southampton	Engineering Research Express	A Hardware-Efficient Multi-Exit Bayesian Neural Network Accelerator for Speech Classification on FPGA
133	C	2026-04	arxiv.org/abs/2604.10438v1	Salesforce (United States)	arXiv (Cornell University)	Whisper-AuT: Domain-Adapted Audio Encoder for Efficient Audio-LLM Training
134	C	2026-04	10.5281/zenodo.19502731	?	Zenodo (CERN European Organization for N	Voice Recognition and Verification for EPICS Based System
135	C	2026-04	10.1515/9783111249797-toc	?		VInhalt
136	C	2026-04	10.1201/9781003648987-15	?		Performance Analysis of MFCC-GMM and MFCC-CNN Approaches for Isolated Word Recognition in Dogri Language
137	C	2026-04	10.23919/indiacom70271.2026.11526151	Bharati Vidyapeeth Deemed University		HomieBot: A Smart Voice-Controlled Home Automation Robot
